2017-05-13 16:19:41
2,14,243,73,-76,55,99402.25,73.9625
1,14,244,65,-66,67,99402.25,73.85
3,12,244,62,-66,61,99402.25,73.85
2,12,246,53,-57,40,99402.25,73.85
2,14,242,65,-70,52,99402.25,73.85
2,12,244,65,-68,64,99401.5,73.85
1,13,244,75,-56,61,99401.5,73.85
2,13,245,70,-74,46,99401.5,73.85
2,14,245,56,-64,54,99401.5,73.85
2,14,246,62,-70,52,99401.5,73.85
3,12,244,66,-74,59,99401.5,73.85
1,12,246,64,-65,61,99401.5,73.85
2,13,243,75,-68,44,99401.5,73.85
2,13,244,71,-67,56,99401.5,73.85
2,13,245,66,-70,54,99406.0,73.85
1,13,245,72,-69,54,99406.0,73.85
1,13,245,80,-69,49,99406.0,73.85
2,13,245,67,-73,60,99406.0,73.85
1,13,245,65,-70,60,99406.0,73.9625
2,12,245,70,-66,51,99406.0,73.9625
1,13,244,61,-65,46,99406.0,73.9625
2,12,244,56,-65,60,99406.0,73.9625
2,13,246,63,-66,54,99406.0,73.85
2,13,244,75,-64,46,99399.75,73.85
1,13,244,54,-64,46,99399.75,73.85
2,13,242,61,-68,58,99399.75,73.9625
1,12,245,60,-65,64,99399.75,73.9625
0,14,244,71,-68,53,99399.75,73.85
2,12,243,63,-69,61,99399.75,73.85
3,13,243,60,-75,58,99399.75,73.85
1,12,246,56,-52,55,99399.75,73.85
1,14,244,68,-56,57,99399.75,73.85
2,13,244,76,-62,46,99403.0,73.85
2,12,244,64,-68,67,99403.0,73.85
2,12,245,65,-75,59,99403.0,73.9625
1,14,245,76,-65,60,99403.0,73.9625
3,12,244,65,-70,58,99403.0,73.9625
2,11,246,75,-68,53,99403.0,73.85
2,13,244,72,-64,53,99403.0,73.85
3,10,245,66,-56,56,99403.0,73.85
1,12,245,73,-66,52,99403.0,73.85
2,12,244,69,-69,58,99403.0,73.85
2,11,244,69,-60,60,99403.0,73.85
2,12,245,70,-62,64,99403.0,73.85
2,13,244,64,-77,58,99403.0,73.9625
2,11,244,76,-70,63,99403.0,73.9625
2,12,245,67,-70,46,99403.0,73.85
1,11,245,67,-72,50,99403.0,73.85
2,12,244,70,-66,43,99403.0,73.85
1,13,245,63,-63,58,99403.0,73.85
2,13,244,62,-63,58,99402.0,73.85
1,12,244,66,-66,49,99402.0,73.9625
3,12,245,57,-69,66,99402.0,73.9625
2,12,244,73,-66,50,99402.0,73.9625
1,13,244,71,-60,47,99402.0,73.9625
1,12,245,58,-68,71,99402.0,73.9625
1,14,246,55,-72,69,99402.0,73.85
1,13,245,72,-73,54,99402.0,73.85
1,12,245,76,-66,51,99402.0,73.85
2,13,245,74,-69,61,99401.25,73.85
3,13,245,62,-68,62,99401.25,73.85
1,13,246,66,-67,53,99401.25,73.85
2,12,243,77,-68,59,99401.25,73.85
2,13,245,90,-67,69,99401.25,73.9625
2,11,244,64,-68,51,99401.25,73.9625
1,13,243,64,-71,52,99401.25,73.9625
2,13,244,57,-69,62,99401.25,73.9625
3,12,244,81,-62,73,99401.25,73.9625
1,14,245,71,-66,59,99404.25,73.9625
1,12,245,70,-77,67,99404.25,73.9625
1,13,245,63,-76,43,99404.25,73.9625
1,12,246,78,-58,52,99404.25,73.9625
2,12,245,65,-61,51,99404.25,73.9625
2,13,245,68,-67,56,99404.25,73.9625
2,12,245,68,-66,67,99404.25,73.9625
1,12,245,63,-64,53,99404.25,73.85
1,13,245,64,-54,50,99404.25,73.85
1,14,245,66,-67,76,99402.0,73.9625
2,14,243,71,-64,67,99402.0,73.9625
1,13,245,61,-62,54,99402.0,73.9625
1,15,246,62,-77,54,99402.0,73.9625
3,12,243,67,-75,48,99402.0,73.9625
1,12,246,60,-74,66,99402.0,73.9625
2,14,245,67,-64,53,99402.0,73.9625
2,13,245,69,-71,64,99402.0,73.9625
1,14,245,68,-72,42,99402.0,73.9625
1,13,244,64,-76,75,99398.75,73.9625
2,13,245,72,-69,60,99398.75,73.9625
2,12,245,76,-80,69,99398.75,73.9625
2,12,245,72,-63,61,99398.75,73.9625
